2021-03-12 10:56:11 status half-installed libdpkg-perl:all 1.19.7
2021-03-12 10:56:11 status unpacked libdpkg-perl:all 1.19.7
2021-03-12 10:56:11 install patch:amd64 <none> 2.7.6-3+deb10u1
2021-03-12 10:56:11 status half-installed patch:amd64 2.7.6-3+deb10u1
2021-03-12 10:56:11 status unpacked patch:amd64 2.7.6-3+deb10u1
2021-03-12 10:56:11 install make:amd64 <none> 4.2.1-1.2
2021-03-12 10:56:11 status half-installed make:amd64 4.2.1-1.2
2021-03-12 10:56:11 status unpacked make:amd64 4.2.1-1.2
2021-03-12 10:56:11 install dpkg-dev:all <none> 1.19.7
2021-03-12 10:56:11 status half-installed dpkg-dev:all 1.19.7
2021-03-12 10:56:11 status unpacked dpkg-dev:all 1.19.7
2021-03-12 10:56:11 install libcc1-0:amd64 <none> 8.3.0-6
2021-03-12 10:56:11 status half-installed libcc1-0:amd64 8.3.0-6
2021-03-12 10:56:11 status unpacked libcc1-0:amd64 8.3.0-6
2021-03-12 10:56:11 install libgomp1:amd64 <none> 8.3.0-6
2021-03-12 10:56:11 status half-installed libgomp1:amd64 8.3.0-6
2021-03-12 10:56:11 status unpacked libgomp1:amd64 8.3.0-6
2021-03-12 10:56:11 install libitm1:amd64 <none> 8.3.0-6
2021-03-12 10:56:11 status half-installed libitm1:amd64 8.3.0-6
2021-03-12 10:56:11 status unpacked libitm1:amd64 8.3.0-6
2021-03-12 10:56:11 install libatomic1:amd64 <none> 8.3.0-6
2021-03-12 10:56:11 status half-installed libatomic1:amd64 8.3.0-6
2021-03-12 10:56:11 status unpacked libatomic1:amd64 8.3.0-6
2021-03-12 10:56:11 install libasan5:amd64 <none> 8.3.0-6
2021-03-12 10:56:11 status half-installed libasan5:amd64 8.3.0-6
2021-03-12 10:56:11 status unpacked libasan5:amd64 8.3.0-6
2021-03-12 10:56:11 install liblsan0:amd64 <none> 8.3.0-6
2021-03-12 10:56:11 status half-installed liblsan0:amd64 8.3.0-6
2021-03-12 10:56:11 status unpacked liblsan0:amd64 8.3.0-6
2021-03-12 10:56:11 install libtsan0:amd64 <none> 8.3.0-6
2021-03-12 10:56:11 status half-installed libtsan0:amd64 8.3.0-6
2021-03-12 10:56:11 status unpacked libtsan0:amd64 8.3.0-6
2021-03-12 10:56:12 install libubsan1:amd64 <none> 8.3.0-6
2021-03-12 10:56:12 status half-installed libubsan1:amd64 8.3.0-6
2021-03-12 10:56:12 status unpacked libubsan1:amd64 8.3.0-6
2021-03-12 10:56:12 install libmpx2:amd64 <none> 8.3.0-6
2021-03-12 10:56:12 status half-installed libmpx2:amd64 8.3.0-6
2021-03-12 10:56:12 status unpacked libmpx2:amd64 8.3.0-6
2021-03-12 10:56:12 install libquadmath0:amd64 <none> 8.3.0-6
2021-03-12 10:56:12 status half-installed libquadmath0:amd64 8.3.0-6
2021-03-12 10:56:12 status unpacked libquadmath0:amd64 8.3.0-6
2021-03-12 10:56:12 install libgcc-8-dev:amd64 <none> 8.3.0-6
2021-03-12 10:56:12 status half-installed libgcc-8-dev:amd64 8.3.0-6
2021-03-12 10:56:12 status unpacked libgcc-8-dev:amd64 8.3.0-6
2021-03-12 10:56:12 install gcc-8:amd64 <none> 8.3.0-6
2021-03-12 10:56:12 status half-installed gcc-8:amd64 8.3.0-6
2021-03-12 10:56:13 status unpacked gcc-8:amd64 8.3.0-6
2021-03-12 10:56:13 install gcc:amd64 <none> 4:8.3.0-1
2021-03-12 10:56:13 status half-installed gcc:amd64 4:8.3.0-1
2021-03-12 10:56:13 status unpacked gcc:amd64 4:8.3.0-1
2021-03-12 10:56:13 install gnupg-l10n:all <none> 2.2.12-1+deb10u1
2021-03-12 10:56:13 status half-installed gnupg-l10n:all 2.2.12-1+deb10u1
2021-03-12 10:56:13 status unpacked gnupg-l10n:all 2.2.12-1+deb10u1
2021-03-12 10:56:13 install gnupg-utils:amd64 <none> 2.2.12-1+deb10u1
2021-03-12 10:56:13 status half-installed gnupg-utils:amd64 2.2.12-1+deb10u1
2021-03-12 10:56:13 status unpacked gnupg-utils:amd64 2.2.12-1+deb10u1
2021-03-12 10:56:13 install libsqlite3-0:amd64 <none> 3.27.2-3+deb10u1
2021-03-12 10:56:13 status half-installed libsqlite3-0:amd64 3.27.2-3+deb10u1
2021-03-12 10:56:13 status unpacked libsqlite3-0:amd64 3.27.2-3+deb10u1
2021-03-12 10:56:13 install gpg:amd64 <none> 2.2.12-1+deb10u1
2021-03-12 10:56:13 status half-installed gpg:amd64 2.2.12-1+deb10u1
2021-03-12 10:56:13 status unpacked gpg:amd64 2.2.12-1+deb10u1
2021-03-12 10:56:13 install pinentry-curses:amd64 <none> 1.1.0-2
2021-03-12 10:56:13 status half-installed pinentry-curses:amd64 1.1.0-2
2021-03-12 10:56:13 status unpacked pinentry-curses:amd64 1.1.0-2
2021-03-12 10:56:13 install gpg-agent:amd64 <none> 2.2.12-1+deb10u1
2021-03-12 10:56:13 status half-installed gpg-agent:amd64 2.2.12-1+deb10u1
2021-03-12 10:56:13 status unpacked gpg-agent:amd64 2.2.12-1+deb10u1
2021-03-12 10:56:13 install gpg-wks-client:amd64 <none> 2.2.12-1+deb10u1
2021-03-12 10:56:13 status half-installed gpg-wks-client:amd64 2.2.12-1+deb10u1
2021-03-12 10:56:13 status unpacked gpg-wks-client:amd64 2.2.12-1+deb10u1
2021-03-12 10:56:13 install gpg-wks-server:amd64 <none> 2.2.12-1+deb10u1
2021-03-12 10:56:13 status half-installed gpg-wks-server:amd64 2.2.12-1+deb10u1
2021-03-12 10:56:13 status unpacked gpg-wks-server:amd64 2.2.12-1+deb10u1
2021-03-12 10:56:13 install gpgsm:amd64 <none> 2.2.12-1+deb10u1
2021-03-12 10:56:13 status half-installed gpgsm:amd64 2.2.12-1+deb10u1
2021-03-12 10:56:13 status unpacked gpgsm:amd64 2.2.12-1+deb10u1
2021-03-12 10:56:13 install gnupg:all <none> 2.2.12-1+deb10u1
2021-03-12 10:56:13 status half-installed gnupg:all 2.2.12-1+deb10u1
2021-03-12 10:56:13 status unpacked gnupg:all 2.2.12-1+deb10u1
2021-03-12 10:56:13 install libicu63:amd64 <none> 63.1-6+deb10u1
2021-03-12 10:56:13 status half-installed libicu63:amd64 63.1-6+deb10u1
2021-03-12 10:56:14 status unpacked libicu63:amd64 63.1-6+deb10u1
2021-03-12 10:56:14 install icu-devtools:amd64 <none> 63.1-6+deb10u1
2021-03-12 10:56:14 status half-installed icu-devtools:amd64 63.1-6+deb10u1
2021-03-12 10:56:14 status unpacked icu-devtools:amd64 63.1-6+deb10u1
2021-03-12 10:56:14 install libc-dev-bin:amd64 <none> 2.28-10
2021-03-12 10:56:14 status half-installed libc-dev-bin:amd64 2.28-10
2021-03-12 10:56:14 status unpacked libc-dev-bin:amd64 2.28-10
2021-03-12 10:56:14 install linux-libc-dev:amd64 <none> 4.19.171-2
2021-03-12 10:56:14 status half-installed linux-libc-dev:amd64 4.19.171-2
2021-03-12 10:56:14 status unpacked linux-libc-dev:amd64 4.19.171-2
2021-03-12 10:56:14 install libc6-dev:amd64 <none> 2.28-10
2021-03-12 10:56:14 status half-installed libc6-dev:amd64 2.28-10
2021-03-12 10:56:15 status unpacked libc6-dev:amd64 2.28-10
2021-03-12 10:56:15 install uuid-dev:amd64 <none> 2.33.1-0.1
2021-03-12 10:56:15 status half-installed uuid-dev:amd64 2.33.1-0.1
2021-03-12 10:56:15 status unpacked uuid-dev:amd64 2.33.1-0.1
2021-03-12 10:56:15 install libsctp1:amd64 <none> 1.0.18+dfsg-1
2021-03-12 10:56:15 status half-installed libsctp1:amd64 1.0.18+dfsg-1
2021-03-12 10:56:15 status unpacked libsctp1:amd64 1.0.18+dfsg-1
2021-03-12 10:56:15 install libsctp-dev:amd64 <none> 1.0.18+dfsg-1
2021-03-12 10:56:15 status half-installed libsctp-dev:amd64 1.0.18+dfsg-1
2021-03-12 10:56:15 status unpacked libsctp-dev:amd64 1.0.18+dfsg-1
2021-03-12 10:56:15 install libapr1-dev:amd64 <none> 1.6.5-1+b1
2021-03-12 10:56:15 status half-installed libapr1-dev:amd64 1.6.5-1+b1
2021-03-12 10:56:15 status unpacked libapr1-dev:amd64 1.6.5-1+b1
2021-03-12 10:56:15 install libldap2-dev:amd64 <none> 2.4.47+dfsg-3+deb10u6
2021-03-12 10:56:15 status half-installed libldap2-dev:amd64 2.4.47+dfsg-3+deb10u6
2021-03-12 10:56:15 status unpacked libldap2-dev:amd64 2.4.47+dfsg-3+deb10u6
2021-03-12 10:56:15 install libexpat1-dev:amd64 <none> 2.2.6-2+deb10u1
2021-03-12 10:56:15 status half-installed libexpat1-dev:amd64 2.2.6-2+deb10u1
2021-03-12 10:56:15 status unpacked libexpat1-dev:amd64 2.2.6-2+deb10u1
2021-03-12 10:56:15 install libaprutil1-dev:amd64 <none> 1.6.1-4
2021-03-12 10:56:15 status half-installed libaprutil1-dev:amd64 1.6.1-4
2021-03-12 10:56:15 status unpacked libaprutil1-dev:amd64 1.6.1-4
2021-03-12 10:56:15 install libbrotli1:amd64 <none> 1.0.7-2+deb10u1
2021-03-12 10:56:15 status half-installed libbrotli1:amd64 1.0.7-2+deb10u1
2021-03-12 10:56:15 status unpacked libbrotli1:amd64 1.0.7-2+deb10u1
2021-03-12 10:56:15 install libbrotli-dev:amd64 <none> 1.0.7-2+deb10u1
2021-03-12 10:56:15 status half-installed libbrotli-dev:amd64 1.0.7-2+deb10u1
2021-03-12 10:56:15 status unpacked libbrotli-dev:amd64 1.0.7-2+deb10u1
2021-03-12 10:56:15 install libkeyutils1:amd64 <none> 1.6-6
2021-03-12 10:56:15 status half-installed libkeyutils1:amd64 1.6-6
2021-03-12 10:56:15 status unpacked libkeyutils1:amd64 1.6-6
2021-03-12 10:56:15 install libkrb5support0:amd64 <none> 1.17-3+deb10u1
2021-03-12 10:56:15 status half-installed libkrb5support0:amd64 1.17-3+deb10u1
2021-03-12 10:56:15 status unpacked libkrb5support0:amd64 1.17-3+deb10u1
2021-03-12 10:56:15 install libk5crypto3:amd64 <none> 1.17-3+deb10u1
2021-03-12 10:56:15 status half-installed libk5crypto3:amd64 1.17-3+deb10u1
2021-03-12 10:56:15 status unpacked libk5crypto3:amd64 1.17-3+deb10u1
2021-03-12 10:56:15 install libkrb5-3:amd64 <none> 1.17-3+deb10u1
2021-03-12 10:56:15 status half-installed libkrb5-3:amd64 1.17-3+deb10u1
2021-03-12 10:56:15 status unpacked libkrb5-3:amd64 1.17-3+deb10u1
2021-03-12 10:56:15 install libgssapi-krb5-2:amd64 <none> 1.17-3+deb10u1
2021-03-12 10:56:15 status half-installed libgssapi-krb5-2:amd64 1.17-3+deb10u1
2021-03-12 10:56:15 status unpacked libgssapi-krb5-2:amd64 1.17-3+deb10u1
2021-03-12 10:56:15 install libnghttp2-14:amd64 <none> 1.36.0-2+deb10u1
2021-03-12 10:56:15 status half-installed libnghttp2-14:amd64 1.36.0-2+deb10u1
2021-03-12 10:56:15 status unpacked libnghttp2-14:amd64 1.36.0-2+deb10u1
2021-03-12 10:56:15 install librtmp1:amd64 <none> 2.4+20151223.gitfa8646d.1-2
2021-03-12 10:56:15 status half-installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2
2021-03-12 10:56:15 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-2
2021-03-12 10:56:15 install libssh2-1:amd64 <none> 1.8.0-2.1
2021-03-12 10:56:15 status half-installed libssh2-1:amd64 1.8.0-2.1
2021-03-12 10:56:16 status unpacked libssh2-1:amd64 1.8.0-2.1
2021-03-12 10:56:16 install libcurl4:amd64 <none> 7.64.0-4+deb10u1
2021-03-12 10:56:16 status half-installed libcurl4:amd64 7.64.0-4+deb10u1
2021-03-12 10:56:16 status unpacked libcurl4:amd64 7.64.0-4+deb10u1
2021-03-12 10:56:16 install libcurl4-openssl-dev:amd64 <none> 7.64.0-4+deb10u1
2021-03-12 10:56:16 status half-installed libcurl4-openssl-dev:amd64 7.64.0-4+deb10u1
2021-03-12 10:56:16 status unpacked libcurl4-openssl-dev:amd64 7.64.0-4+deb10u1
2021-03-12 10:56:16 install libglib2.0-0:amd64 <none> 2.58.3-2+deb10u2
2021-03-12 10:56:16 status half-installed libglib2.0-0:amd64 2.58.3-2+deb10u2
2021-03-12 10:56:16 status unpacked libglib2.0-0:amd64 2.58.3-2+deb10u2
2021-03-12 10:56:16 install libicu-dev:amd64 <none> 63.1-6+deb10u1
2021-03-12 10:56:16 status half-installed libicu-dev:amd64 63.1-6+deb10u1
2021-03-12 10:56:17 status unpacked libicu-dev:amd64 63.1-6+deb10u1
2021-03-12 10:56:17 install libjansson4:amd64 <none> 2.12-1
2021-03-12 10:56:17 status half-installed libjansson4:amd64 2.12-1
2021-03-12 10:56:17 status unpacked libjansson4:amd64 2.12-1
2021-03-12 10:56:17 install libjansson-dev:amd64 <none> 2.12-1
2021-03-12 10:56:17 status half-installed libjansson-dev:amd64 2.12-1
2021-03-12 10:56:17 status unpacked libjansson-dev:amd64 2.12-1
2021-03-12 10:56:17 install liblua5.2-0:amd64 <none> 5.2.4-1.1+b2
2021-03-12 10:56:17 status half-installed liblua5.2-0:amd64 5.2.4-1.1+b2
2021-03-12 10:56:17 status unpacked liblua5.2-0:amd64 5.2.4-1.1+b2
2021-03-12 10:56:17 install libncurses6:amd64 <none> 6.1+20181013-2+deb10u2
2021-03-12 10:56:17 status half-installed libncurses6:amd64 6.1+20181013-2+deb10u2
2021-03-12 10:56:17 status unpacked libncurses6:amd64 6.1+20181013-2+deb10u2
2021-03-12 10:56:17 install libncurses-dev:amd64 <none> 6.1+20181013-2+deb10u2
2021-03-12 10:56:17 status half-installed libncurses-dev:amd64 6.1+20181013-2+deb10u2
2021-03-12 10:56:17 status unpacked libncurses-dev:amd64 6.1+20181013-2+deb10u2
2021-03-12 10:56:17 install libreadline-dev:amd64 <none> 7.0-5
2021-03-12 10:56:17 status half-installed libreadline-dev:amd64 7.0-5
2021-03-12 10:56:17 status unpacked libreadline-dev:amd64 7.0-5
2021-03-12 10:56:17 install liblua5.2-dev:amd64 <none> 5.2.4-1.1+b2
2021-03-12 10:56:17 status half-installed liblua5.2-dev:amd64 5.2.4-1.1+b2
2021-03-12 10:56:17 status unpacked liblua5.2-dev:amd64 5.2.4-1.1+b2
2021-03-12 10:56:17 install pkg-config:amd64 <none> 0.29-6
2021-03-12 10:56:17 status half-installed pkg-config:amd64 0.29-6
2021-03-12 10:56:17 status unpacked pkg-config:amd64 0.29-6
2021-03-12 10:56:17 install libnghttp2-dev:amd64 <none> 1.36.0-2+deb10u1
2021-03-12 10:56:17 status half-installed libnghttp2-dev:amd64 1.36.0-2+deb10u1
2021-03-12 10:56:17 status unpacked libnghttp2-dev:amd64 1.36.0-2+deb10u1
2021-03-12 10:56:17 install libpcre16-3:amd64 <none> 2:8.39-12
2021-03-12 10:56:17 status half-installed libpcre16-3:amd64 2:8.39-12
